feature,importance
content_stats_Periods_FirstHalf_stats_1_stats_6_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_1_stats_5_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_1_stats_5_stats_max,0.0
content_stats_Periods_FirstHalf_stats_1_stats_4_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_2_stats_0_stats_len,0.0
content_stats_Periods_FirstHalf_stats_2_stats_away_ratio,0.0
content_stats_Periods_FirstHalf_stats_2_stats_home_ratio,0.0
content_stats_Periods_FirstHalf_stats_2_stats_home_away_diff,0.0
content_stats_Periods_FirstHalf_stats_2_stats_away_count,0.0
content_stats_Periods_FirstHalf_stats_2_stats_home_count,0.0
content_stats_Periods_FirstHalf_stats_1_stats_7_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_3_stats_home_away_diff,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_isSavedOffLine,0.0
content_lineup_awayTeam_starters_7_verticalLayout_y,0.0
header_events_awayTeamGoals_Serdar_total_count,0.0
content_lineup_awayTeam_starters_8_horizontalLayout_height,0.0
content_lineup_awayTeam_starters_8_horizontalLayout_width,0.0
content_lineup_awayTeam_starters_8_horizontalLayout_x,0.0
content_lineup_awayTeam_starters_8_verticalLayout_height,0.0
content_lineup_awayTeam_starters_8_verticalLayout_y,0.0
header_events_awayTeamGoals_Bradaric_home_ratio,0.0
header_events_awayTeamGoals_Bradaric_home_away_diff,0.0
header_events_awayTeamGoals_Bradaric_away_count,0.0
header_events_awayTeamGoals_Bradaric_home_count,0.0
header_events_awayTeamGoals_Bradaric_total_count,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_goalCrossedY,0.0
content_lineup_awayTeam_subs_home_ratio,0.0
content_lineup_awayTeam_subs_home_away_diff,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_isBlocked,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_min,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_y,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_x,0.0
header_events_awayTeamGoals_Bradaric_0_timeStr,0.0
header_events_awayTeamGoals_Bradaric_0_isHome,0.0
header_events_awayTeamGoals_Bradaric_0_time,0.0
header_events_awayTeamGoals_Bradaric_away_ratio,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_expectedGoals,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_goalCrossedZ,0.0
content_lineup_awayTeam_subs_away_ratio,0.0
content_lineup_awayTeam_starters_9_horizontalLayout_width,0.0
content_lineup_awayTeam_starters_9_horizontalLayout_y,0.0
content_lineup_awayTeam_starters_9_horizontalLayout_x,0.0
content_lineup_awayTeam_starters_9_verticalLayout_height,0.0
content_lineup_awayTeam_starters_9_verticalLayout_width,0.0
content_lineup_awayTeam_starters_9_verticalLayout_y,0.0
content_stats_Periods_All_stats_0_stats_5_stats_sum,0.0
content_stats_Periods_All_stats_0_stats_4_stats_sum,0.0
content_stats_Periods_All_stats_0_stats_3_stats_sum,0.0
content_stats_Periods_All_stats_0_stats_2_stats_sum,0.0
content_stats_Periods_All_stats_0_stats_1_stats_len,0.0
content_stats_Periods_All_stats_0_stats_0_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_away_ratio,0.0
content_stats_Periods_All_stats_1_stats_away_count,0.0
content_stats_Periods_All_stats_1_stats_home_count,0.0
content_stats_Periods_All_stats_1_stats_total_count,0.0
content_stats_Periods_All_stats_0_stats_8_stats_sum,0.0
content_stats_Periods_All_stats_0_stats_7_stats_sum,0.0
content_stats_Periods_All_stats_0_stats_6_stats_len,0.0
content_stats_Periods_All_stats_1_stats_1_stats_sum,0.0
content_stats_Periods_All_stats_1_stats_1_stats_max,0.0
content_stats_Periods_All_stats_1_stats_1_stats_min,0.0
content_stats_Periods_All_stats_1_stats_1_stats_std,0.0
content_stats_Periods_All_stats_1_stats_1_stats_mean,0.0
content_stats_Periods_All_stats_1_stats_0_stats_len,0.0
content_stats_Periods_All_stats_1_stats_home_away_diff,0.0
content_stats_Periods_All_stats_1_stats_3_stats_sum,0.0
content_stats_Periods_All_stats_1_stats_3_stats_max,0.0
content_stats_Periods_All_stats_1_stats_3_stats_min,0.0
content_stats_Periods_All_stats_1_stats_3_stats_std,0.0
content_stats_Periods_All_stats_1_stats_3_stats_mean,0.0
content_stats_Periods_All_stats_1_stats_2_stats_sum,0.0
content_stats_Periods_All_stats_1_stats_7_stats_sum,0.0
content_stats_Periods_All_stats_1_stats_6_stats_sum,0.0
content_stats_Periods_All_stats_1_stats_5_stats_sum,0.0
